id,gid,x,y,v_x,v_y,radius,time
15,0,11.921746,0.981496,-1.265530,-0.035162,0.200000,1.750000
16,0,4.833062,-0.128098,-1.317549,0.013180,0.200000,1.750000
17,0,5.452180,0.578109,-0.856303,-0.193787,0.200000,1.750000
18,0,7.984798,-0.696255,-1.037192,-0.268713,0.200000,1.750000
19,0,5.880443,-1.169215,-1.069288,-0.125283,0.200000,1.750000
20,1,6.965736,6.051982,-0.257693,-1.211064,0.200000,1.750000
21,1,7.986127,-5.831474,-0.287323,-1.224172,0.200000,1.750000
22,1,6.674022,1.118344,-0.452135,-0.824549,0.200000,1.750000
23,1,8.596053,-4.708705,-0.366024,-1.213457,0.200000,1.750000
24,1,5.414227,3.903674,0.010934,-1.131154,0.200000,1.750000
25,1,8.115351,-3.707659,-0.221215,-1.248005,0.200000,1.750000
26,1,6.818870,4.899864,0.001086,-1.196170,0.200000,1.750000
27,1,4.544303,0.611511,-0.504431,-0.487772,0.200000,1.750000
28,1,4.567672,1.970575,-0.186337,-0.810621,0.200000,1.750000
29,1,4.113762,-0.750770,0.010002,-1.265431,0.200000,1.750000
30,1,7.470724,2.016594,-0.213550,-0.977958,0.200000,1.750000
31,1,7.182680,-6.070478,-0.063832,-1.275393,0.200000,1.750000
32,1,5.322354,1.368789,-0.259518,-0.788580,0.200000,1.750000
33,1,7.825508,3.815566,-0.096662,-1.092485,0.200000,1.750000
34,1,5.119360,5.055516,0.146787,-1.140914,0.200000,1.750000
35,1,8.878835,2.026681,-0.309791,-1.384516,0.200000,1.750000
36,1,6.158960,2.810863,-0.059812,-0.890368,0.200000,1.750000
37,1,8.288228,2.178050,-0.262491,-1.258504,0.200000,1.750000
38,1,8.827077,3.147336,-0.204667,-1.068021,0.200000,1.750000
39,1,6.817076,7.163953,0.013507,-1.267387,0.200000,1.750000
0,0,8.641788,0.062370,-1.080025,-0.281318,0.200000,1.800000
1,0,10.921873,0.324414,-1.024424,-0.356161,0.200000,1.800000
2,0,5.881417,-0.360972,-1.150436,-0.298492,0.200000,1.800000
3,0,5.105552,-1.074189,-1.272590,0.087717,0.200000,1.800000
4,0,7.691586,0.463906,-0.916900,-0.220599,0.200000,1.800000
5,0,3.780969,0.134736,-1.291732,-0.080800,0.200000,1.800000
6,0,12.029703,-1.130810,-1.067314,-0.201759,0.200000,1.800000
7,0,9.291574,-0.390818,-1.055160,-0.176796,0.200000,1.800000
8,0,11.622080,-0.609673,-1.144021,-0.111327,0.200000,1.800000
9,0,6.528261,-0.527718,-1.221731,-0.138841,0.200000,1.800000
10,0,5.903149,0.171555,-0.973380,-0.478477,0.200000,1.800000
11,0,13.008189,-0.624397,-1.233676,0.057052,0.200000,1.800000
12,0,11.767323,0.528186,-1.169879,-0.035611,0.200000,1.800000
13,0,7.090877,-0.159359,-1.008815,-0.390564,0.200000,1.800000
14,0,5.253278,-0.555001,-1.194525,-0.044279,0.200000,1.800000
15,0,11.858308,0.979538,-1.268759,-0.039173,0.200000,1.800000
16,0,4.767273,-0.127420,-1.315783,0.013555,0.200000,1.800000
17,0,5.407157,0.569029,-0.900475,-0.181588,0.200000,1.800000
18,0,7.933172,-0.710793,-1.032515,-0.290750,0.200000,1.800000
19,0,5.823863,-1.177605,-1.131597,-0.167800,0.200000,1.800000
20,1,6.952741,5.991978,-0.259884,-1.200073,0.200000,1.800000
21,1,7.971701,-5.892887,-0.288518,-1.228263,0.200000,1.800000
22,1,6.653867,1.074742,-0.403112,-0.872039,0.200000,1.800000
23,1,8.577705,-4.769534,-0.366964,-1.216573,0.200000,1.800000
24,1,5.415456,3.846314,0.024572,-1.147201,0.200000,1.800000
25,1,8.104262,-3.770219,-0.221783,-1.251209,0.200000,1.800000
26,1,6.818993,4.841342,0.002472,-1.170452,0.200000,1.800000
27,1,4.520987,0.589556,-0.466329,-0.439113,0.200000,1.800000
28,1,4.561378,1.933058,-0.125864,-0.750336,0.200000,1.800000
29,1,4.116148,-0.813919,0.047726,-1.262986,0.200000,1.800000
30,1,7.460859,1.966091,-0.197284,-1.010063,0.200000,1.800000
31,1,7.179506,-6.134364,-0.063486,-1.277713,0.200000,1.800000
32,1,5.314346,1.339575,-0.160165,-0.584272,0.200000,1.800000
33,1,7.820400,3.762617,-0.102147,-1.058978,0.200000,1.800000
34,1,5.125532,4.999151,0.123434,-1.127298,0.200000,1.800000
35,1,8.863892,1.957956,-0.298877,-1.374506,0.200000,1.800000
36,1,6.156164,2.764625,-0.055912,-0.924752,0.200000,1.800000
37,1,8.275733,2.114954,-0.249917,-1.261932,0.200000,1.800000
38,1,8.817477,3.096805,-0.192001,-1.010619,0.200000,1.800000
39,1,6.817753,7.100421,0.013542,-1.270641,0.200000,1.800000
0,0,8.590718,0.047445,-1.021406,-0.298499,0.200000,1.850000
1,0,10.867655,0.310444,-1.084352,-0.279397,0.200000,1.850000
2,0,5.815824,-0.382910,-1.311864,-0.438758,0.200000,1.850000
3,0,5.036826,-1.074128,-1.374519,0.001228,0.200000,1.850000
4,0,7.647921,0.454558,-0.873305,-0.186962,0.200000,1.850000
5,0,3.716341,0.131000,-1.292544,-0.074714,0.200000,1.850000
6,0,11.975921,-1.139427,-1.075642,-0.172326,0.200000,1.850000
7,0,9.239403,-0.399045,-1.043414,-0.164545,0.200000,1.850000
8,0,11.566998,-0.617081,-1.101636,-0.148170,0.200000,1.850000
9,0,6.476769,-0.545130,-1.029823,-0.348256,0.200000,1.850000
